EventNbr,Init_DateTime,FinalEventType,SourceCall,BadgeNbr,UnitId,PrimaryUnit,DispCode
20172740005,2017-10-01T00:02:53,87HOR,ONV,A0647,AD17,1,P
20172740019,2017-10-01T00:07:54,22IR,911,A0659,AD14,1,V
20172740023,2017-10-01T00:09:17,90CIR,911,A0649,AD16,1,V
20172740321,2017-10-01T02:51:04,13IR,ONV,A0649,AD16,0,Q
20172740421,2017-10-01T03:45:55,13PIR,ONV,A0646,AD12,0,D2
20172740421,2017-10-01T03:45:55,13PIR,ONV,A0635,AD13,1,D2
20172740460,2017-10-01T04:04:12,22IR,911,A0647,AD17,0,I
20172740460,2017-10-01T04:04:12,22IR,911,A0649,AD16,1,I
